"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00000,United States,27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42650,44238,44402,46289,48062,48974,51006,53311,55567,59151,64692,66298,70002,73204
01000,Alabama,22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33848,34884,35559,35706,36722,38189,38704,39968,41324,42998,45872,50638,51697,54612,57311
02000,Alaska,29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55536,56500,58997,60504,61903,65803,69160,72398,76234
04000,Arizona,24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33778,35263,36364,36918,38268,39888,41173,43255,45297,47718,52077,57175,59060,63032,65798
05000,Arkansas,21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34181,36289,36286,38220,39267,40181,41403,43031,43737,47129,53353,53709,56547,59320
06000,California,28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43137,45508,47793,48074,50617,53816,55862,58214,60984,64219,70100,77134,77196,81196,86232
08000,Colorado,29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43735,45495,47088,50251,51401,51312,54176,57798,61278,64704,71928,76685,80169,83055
09000,Connecticut,37638,39479,42857,45032,44656,44898,47098,49424,53224,57112,60543,59586,61392,62964,63556,62000,64484,66222,67551,69147,72159,74176,76826,82152,85411,90235,95067
10000,Delaware,29444,31119,33810,36917,37660,37985,38843,39133,40736,41539,41254,41056,41100,43779,43771,43943,45359,47238,48186,49997,52670,53778,55518,59873,64066,64591,68061
11000,District of Columbia,38064,39679,43401,44809,45124,45978,49986,52686,55384,59358,60609,60011,63190,66985,67522,67081,70527,74784,77500,79567,82272,83675,90741,98143,100849,106640,111185
12000,Florida,26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38779,40437,41211,40743,42877,44957,45730,48447,51015,53666,56597,62617,65429,70057,73006
13000,Georgia,26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34740,36760,37250,37484,39550,41527,42742,44836,46624,48529,51496,56262,57396,60006,63006
15000,Hawaii,26625,27618,29174,30178,31353,32557,34336,36278,38315,40301,41887,41144,41498,42758,43523,43548,45445,47150,48561,50506,51554,53940,57026,61264,63184,67269,71019
16000,Idaho,22756,23658,25139,25803,26272,26739,28299,29214,31244,32459,32690,31200,31948,33447,34812,35699,37107,38813,39653,41197,43254,45880,49724,55603,57034,59201,62323
