Tax Type,2024 Total Taxes (Per Capita),2024 Property taxes(Per Capita),2024 Sales and gross receipts taxes(Per Capita),2024 Individual income(Per Capita),2023 Total Taxes(Per Capita),2023 Property taxes(Per Capita),2023 Sales and gross receipts taxes(Per Capita),2023 Individual income(Per Capita),2022 Total Taxes(Per Capita),2022 Property taxes(Per Capita),2022 Sales and gross receipts taxes(Per Capita),2022 Individual income(Per Capita),2021 Total Taxes(Per Capita),2021 Property taxes(Per Capita),2021 Sales and gross receipts taxes(Per Capita),2021 Individual income(Per Capita),2020 Total Taxes(Per Capita),2020 Property taxes(Per Capita),2020 Sales and gross receipts taxes(Per Capita),2020 Individual income taxes(Per Capita)
Alabama,3275.817569,120.3439751,1571.676827,1023.986278,3228.067717,108.2155894,1553.866963,1000.378688,3218.078118,97.6625932,1485.484265,1077.232668,2822.49471,92.69099476,1389.235435,972.2017129,2466.349327,88.53083213,1246.73054,849.1897827
Alaska,2683.093444,176.799305,435.8757142,0,3793.668789,175.0974189,396.8106339,0,4004.781862,170.4954237,368.5028906,0,1434.32913,163.4323684,364.6986738,0,1824.049101,171.4776056,348.1583647,0
Arizona,3111.899371,100.6101775,2023.497755,634.186161,3188.54582,174.6150522,1954.331491,701.1249926,3276.654252,170.0894306,1813.639485,1020.645427,2853.591479,174.1787756,1546.54638,898.0867403,2454.446034,152.5418682,1495.197739,630.3499239
Arkansas,4103.898063,490.8692462,2206.677084,893.6193843,4156.676917,463.9541184,2172.566993,954.7784091,4189.425548,432.5049283,2039.61113,1219.89537,3874.192813,432.1427745,1900.586414,1145.454215,3401.890368,400.5233292,1704.264257,966.9578769
California,6734.52126,90.23401051,1878.34024,3121.930205,5553.95949,86.74842807,1849.296991,2458.737438,7227.317457,76.28946953,1831.197534,3734.823662,6510.009066,80.51306806,1644.425806,3738.247072,4376.74052,77.51050694,1608.089862,2135.831504
Colorado,3100.813547,0,1365.816292,1141.395382,3072.473044,0,1353.29948,1149.032787,3775.362741,0,1342.847083,1997.287442,3311.075301,0,1203.090762,1762.37832,2604.829441,0,1038.853808,1302.750293
Connecticut,6316.365217,0,2497.34522,2730.296492,6183.610974,0,2419.149701,2631.036642,6294.912968,0,2301.827705,2725.668443,6118.395489,0,2259.26196,2844.552512,5139.931697,0,2086.207282,2284.257908
Delaware,6211.860822,0,626.3935272,2408.001772,6332.811989,0,623.8196181,2340.584877,6183.359216,0,631.5267606,2356.441396,5368.534478,0,584.9619227,2137.469131,4592.545023,0,590.2686485,1699.566904
DC,14830.60449,4272.135279,3500.803133,4469.848345,15039.42246,4436.863837,3454.239922,4434.922977,15082.55347,4281.529425,3215.12579,4605.993572,13442.17609,4474.491077,2457.257014,3949.479721,12553.0699,4343.951636,2462.584791,3543.263921
Florida,2699.26864,0,2160.758875,0,2703.580523,0,2168.999009,0,2647.593054,0,2100.844253,0,2259.076411,0,1764.483464,0,2006.051908,0,1628.724944,0
Georgia,3009.091683,77.17497678,1102.020342,1432.86368,3056.526987,75.17774071,1030.062637,1533.792607,3092.072901,73.1410778,1043.292119,1672.811123,2580.693213,67.85775839,950.5071321,1317.719323,2213.8485,61.72085277,888.7217494,1090.510588
Hawaii,7311.888979,0,4352.849574,2268.448691,7067.947748,0,4340.597633,2150.690966,7136.765209,0,3921.223112,2610.360334,5560.83603,0,2866.303301,2318.329488,5310.932905,0,3392.911086,1625.557105
Idaho,4162.155235,0,1877.684514,1441.620009,3763.858858,0,1898.16815,1086.624775,3965.588112,0,1848.968189,1334.440845,3397.89159,0,1669.543187,1290.361751,2874.292682,0,1467.938781,1034.629329
Illinois,5265.099301,5.770345262,2176.828801,1780.450015,5382.137955,4.754609125,2128.658019,1840.217401,5037.77054,5.450481353,2045.217881,1771.916746,4372.374749,4.691810437,1849.224382,1722.015133,3538.113419,4.655722345,1613.39722,1402.940272
Indiana,3772.751227,2.207451322,2333.327894,1169.248766,3813.522155,2.247486276,2405.262923,1101.12729,3753.519043,2.322725616,2203.447855,1195.287634,3909.362613,2.0358259,2031.677222,1552.094094,3294.912876,2.044180271,1841.770197,1222.779128
Iowa,3930.910742,0.258214746,1925.417277,1160.016326,4029.139819,0.240801836,1939.788977,1440.153753,4030.496562,0.658794437,1813.120625,1553.200929,3694.258105,0.632774268,1726.409853,1333.870024,3340.948269,0.568762082,1553.721067,1240.943913
Kansas,4398.984921,320.6493894,1904.571323,1516.05935,4451.825512,298.7257327,1923.511774,1527.022531,4287.091244,286.5839792,1885.95572,1646.440774,3953.172508,277.6062522,1691.47627,1571.345094,3287.706098,266.5871841,1564.982921,1150.385342
Kentucky,3753.158201,176.1326239,1871.209876,1093.107752,3783.479743,173.8038652,1834.842477,1326.834403,3661.36112,160.5172825,1707.917251,1367.649333,3244.865153,156.9490789,1572.491954,1156.455244,2962.000462,145.2406419,1450.473769,1071.663312
Louisiana,3470.214497,28.54358881,1767.69826,1061.924119,3377.936392,21.45564007,1730.568468,1019.810504,3153.028929,20.65007912,1685.16205,974.9702146,2648.51141,22.41803157,1480.889357,849.8558007,2471.027992,19.4467211,1327.223454,841.7748551
Maine,4632.752603,28.46452557,2274.881638,1707.422428,4626.974249,31.38222093,2210.013818,1773.279815,4645.95858,32.3691767,2151.370817,1862.723431,3953.96869,32.37000256,1906.924277,1504.986834,3555.123918,31.23765638,1760.064518,1350.943996
Maryland,4935.433052,158.8282066,2023.404096,1700.057319,4759.489128,172.005362,2033.443611,1562.051657,4741.471536,150.3139312,1960.428684,1819.509919,4081.387959,144.5471351,1713.305153,1648.41814,3867.013978,140.3464102,1540.735213,1731.788373
Massachusetts,6036.987062,2.160262135,1723.921834,3101.780773,5849.8738,1.99149007,1721.600075,2795.379454,6135.161314,1.85063143,1624.110925,3146.777315,5190.523527,1.481042569,1489.59499,2811.736177,4522.285198,1.276127663,1356.711708,2489.737509
Michigan,3705.191846,255.7008514,1783.185751,1120.752325,3793.814183,269.4225018,1796.519631,1142.129366,3835.085336,252.2377898,1693.184087,1281.461807,3428.983311,238.6547388,1586.017957,1194.975158,2775.856193,235.6067681,1321.149447,896.4319706
Minnesota,6156.74941,126.3328023,2343.444181,2291.338513,5992.160156,134.6846054,2250.466883,2303.273326,6101.746516,135.2548517,2113.414188,2549.931042,5559.591233,141.4946858,1959.280321,2652.826536,4691.319769,132.3938162,1987.993139,1912.74118
Mississippi,3602.591534,10.31618613,2326.018121,790.9505291,3704.256156,10.58653725,2337.041124,835.4938142,3461.244098,9.865942156,2122.445775,862.6239361,3198.994371,10.14010204,1944.995757,853.5634901,2737.837228,9.932953326,1779.359115,629.1162251
Missouri,2848.417716,7.387118912,1214.197948,1240.509515,2803.389412,6.727729437,1129.354234,1397.830361,2737.028301,6.406918196,1047.666656,1447.169748,2445.391091,6.063155466,963.3661807,1250.209597,2016.291985,5.934446664,886.9182861,958.8811492
Montana,4153.685305,423.0329229,793.8364434,1975.470286,4163.469171,343.7649717,816.5759452,2021.426639,4133.39334,320.6894247,772.6671984,2127.277993,3506.81324,302.5326202,694.5175966,1707.552132,2914.204906,306.1624495,624.3711082,1231.328238
Nebraska,4041.376439,0.062828322,1826.610287,1237.803701,3685.729507,0.064893775,1710.298592,1512.151737,3790.59306,0.061858409,1665.690791,1642.539014,3543.322422,0.062610172,1547.755018,1593.555632,2983.225925,0.065193464,1432.552523,1245.626563
Nevada,4600.907676,555.8238232,3494.286553,0,4453.17937,464.2671036,3433.793259,0,4399.85095,440.6142597,3355.308811,0,2876.824132,122.7549846,2209.470605,0,3032.704549,111.2947298,2436.639849,0
New Hampshire,2545.221826,291.369536,724.2624724,130.1311823,2529.558215,218.2286537,741.0246335,106.60755,2513.650247,291.077113,684.8464714,109.9895609,2390.531802,289.2654415,752.2946622,91.52201845,2035.973733,296.5985279,668.8043425,88.94322128
New Jersey,5456.18061,0.522479513,2196.65291,1960.079471,5509.096829,0.540319129,2213.986845,1972.997477,5677.314712,0.545226061,2123.76567,2219.450585,4712.025868,0.557249032,1927.825571,1815.805032,4090.189214,0.536407905,1754.783833,1662.149078
New Mexico,6428.357437,59.12904365,2508.788146,1243.024313,6777.420322,55.19092347,2500.160289,1247.569731,5814.179977,55.15197732,2065.490371,1027.578354,3536.43664,53.92869237,1817.5705,566.2340312,3395.636565,51.76375409,1864.796475,579.5914861
New York,6026.352366,0,1759.202784,2709.991691,6345.425203,0,1666.872638,2977.888084,6706.704212,0,1560.031754,3590.045183,4626.193277,0,1310.888966,2747.400631,4611.791365,0,1411.988886,2668.93532
North Carolina,3541.975466,0,1645.356555,1508.660854,3591.046438,0,1631.595867,1549.067202,3604.310811,0,1538.046903,1649.924987,3287.964204,0,1380.697291,1505.828203,2708.89509,0,1228.816615,1196.777271
North Dakota,7341.128441,7.303833445,2362.525233,447.5135833,7665.638422,6.957760438,2312.289382,627.8928885,6850.695916,6.813843292,2030.986215,605.4935811,5024.219567,6.693094557,1834.126427,576.7655656,5562.388158,6.961592585,2007.48368,483.429819
Ohio,3152.857741,0,2128.224692,843.2592484,3275.392391,0,2132.930859,956.5467251,3174.480131,0,2038.921625,954.9256513,2966.632742,0,1882.201965,906.1356581,2593.88172,0,1722.820804,702.1823635
Oklahoma,3180.97091,0,1374.93569,1101.567786,3358.335946,0,1368.150699,1081.161805,3227.955737,0,1335.247697,1032.680456,2830.303203,0,1246.336015,943.7485941,2580.384903,0,1165.787692,848.5737306
Oregon,4033.818224,4.853042959,987.57107,2232.511877,4885.622076,5.042724454,1001.881442,3096.898595,4393.499321,5.387802152,931.2019291,2771.804777,4170.365373,5.906287315,826.0427146,2646.018598,3117.44933,5.333218341,456.4827716,2034.900498
Pennsylvania,4220.435652,3.369817194,2111.060146,1305.861087,4230.729711,3.550083767,2080.543054,1306.430288,4135.552973,3.059609595,1981.296867,1338.62244,3813.458972,3.103590307,1878.431995,1227.601386,3131.15976,3.028513921,1650.109806,951.9888324
Rhode Island,4744.592325,4.822405305,2554.308699,1440.266545,4663.017738,4.316544155,2711.293613,1460.709298,4395.803358,3.760807205,2147.782897,1763.534813,3984.179482,3.521543938,1943.035564,1601.899665,3238.579884,2.592724321,1731.614274,1132.532626
South Carolina,3290.208258,16.94175272,1733.521074,1121.668108,2904.560278,17.97272742,1384.48225,1073.210179,3054.170484,16.44441545,1340.310348,1296.316048,2578.315853,15.20424221,1198.631609,1050.456714,2298.151161,8.240052266,1048.635403,992.8456316
South Dakota,2896.638689,0,2442.057644,0,2862.981254,0,2424.275159,0,2721.04146,0,2272.180653,0,2397.726918,0,1989.958639,0,2273.131985,0,1890.548771,0
Tennessee,3342.644115,0,2512.146795,0.29372903,3353.329545,0,2485.565107,0.409327863,3225.647272,0,2362.273207,1.342354674,2868.032399,0,2080.591725,25.75160715,2421.406244,0,1908.189403,8.320265408
Texas,2791.127535,0,2394.630171,0,2840.620817,0,2411.533464,0,2711.558289,0,2225.107832,0,2213.910785,0,1915.635293,0,2103.195977,0,1824.498582,0
Utah,3835.421321,0,1632.346381,1632.489091,3916.511918,0,1621.167035,1718.105019,3978.49137,0,1550.528441,2008.948659,3697.228046,0,1353.21633,1997.969601,2658.828036,0,1288.80078,1137.154823
Vermont,7156.205233,2015.835175,2381.048061,1916.858008,6934.830463,1866.457636,2300.346227,1866.147789,6813.327944,1906.370826,2146.407732,1956.822733,6339.409156,1858.838708,1927.684986,1905.342934,5351.140087,1788.972234,1811.343174,1186.109301
Virginia,4274.237944,5.120077356,1624.815136,2001.697954,4250.191507,5.682517458,1606.070396,1905.653152,4310.211053,6.300747609,1489.198488,2272.464379,3733.507451,5.004325025,1353.448875,1970.986648,3249.107074,4.211926556,1165.53551,1736.202528
Washington,4692.285799,579.7899771,3564.556343,44.03607357,4839.489801,570.7024787,3579.882199,107.7765701,4628.080157,564.5026387,3430.761229,0,4224.961001,561.7742544,3100.981435,0,3775.3665,483.8459785,2816.422204,0
West Virginia,3945.311216,5.28254855,2003.749197,1282.42143,4314.472506,4.350195849,1957.269012,1521.364364,3973.29045,4.457416119,1804.354492,1410.741764,3377.502355,4.548565259,1662.479881,1262.189337,3033.133778,4.125815033,1573.400661,1087.238216
Wisconsin,4277.165397,17.57363519,1785.183296,1656.382723,4004.089603,16.37476698,1746.301644,1549.849125,3957.302326,15.04715044,1673.016739,1523.549304,3791.624671,16.28075179,1561.583499,1536.312519,3420.316327,17.14101613,1467.162933,1440.434939
Wyoming,4492.251769,683.6941687,2082.45663,0,5136.157056,815.2091983,1970.996484,0,4194.328652,461.000244,2023.696772,0,3234.574802,510.5359225,1599.433092,0,3399.620206,512.3640902,1647.649827,0
